timestamp,symbol,decision,quality,score,confidence,passed,failed,reasons,summary
2026-07-02T10:56:28.461951+00:00,BTC/USDT,NO TRADE,E,0,68,Trend | Structure | Momentum | Risk,,Score or confidence did not reach an actionable trade threshold.,Trade rejected because the combined decision did not reach an actionable threshold.
2026-07-02T10:56:29.180956+00:00,ETH/USDT,NO TRADE,E,0,68,Trend | Structure | Momentum | Risk,,Score or confidence did not reach an actionable trade threshold.,Trade rejected because the combined decision did not reach an actionable threshold.
2026-07-02T10:56:29.904421+00:00,SOL/USDT,NO TRADE,E,0,56,Trend | Structure | Momentum | Risk,,Score or confidence did not reach an actionable trade threshold.,Trade rejected because the combined decision did not reach an actionable threshold.
2026-07-02T10:58:02.476998+00:00,BTC/USDT,NO TRADE,E,0,68,Trend | Structure | Momentum | Risk,,Score or confidence did not reach an actionable trade threshold.,Trade rejected because the combined decision did not reach an actionable threshold.
2026-07-02T10:58:03.192563+00:00,ETH/USDT,NO TRADE,E,0,68,Trend | Structure | Momentum | Risk,,Score or confidence did not reach an actionable trade threshold.,Trade rejected because the combined decision did not reach an actionable threshold.
2026-07-02T10:58:04.005020+00:00,SOL/USDT,NO TRADE,E,0,56,Trend | Structure | Momentum | Risk,,Score or confidence did not reach an actionable trade threshold.,Trade rejected because the combined decision did not reach an actionable threshold.
2026-07-02T11:01:37.670106+00:00,BTC/USDT,NO TRADE,E,0,68,Trend | Structure | Risk,Momentum,"Weak Momentum filter for SHORT: selected side scored 0, opposite side scored 12.",Trade rejected because Momentum filters failed.
2026-07-02T11:01:38.485968+00:00,ETH/USDT,NO TRADE,E,0,68,Trend | Structure | Risk,Momentum,"Weak Momentum filter for SHORT: selected side scored 0, opposite side scored 12.",Trade rejected because Momentum filters failed.
2026-07-02T11:01:39.236069+00:00,SOL/USDT,NO TRADE,E,0,56,Trend | Momentum,Structure | Risk,"Weak Structure filter for LONG: selected side scored 10, opposite side scored 27. | Weak Risk filter for LONG: selected side scored 0, opposite side scored 20.",Trade rejected because Structure and Risk filters failed.
2026-07-02T11:03:06.398897+00:00,BTC/USDT,NO TRADE,E,0,68,Trend | Structure | Momentum | Risk,,Score or confidence did not reach an actionable trade threshold.,Trade rejected because the combined decision did not reach an actionable threshold.
2026-07-02T11:03:07.118755+00:00,ETH/USDT,NO TRADE,E,0,68,Trend | Structure | Momentum | Risk,,Score or confidence did not reach an actionable trade threshold.,Trade rejected because the combined decision did not reach an actionable threshold.
2026-07-02T11:03:07.844608+00:00,SOL/USDT,NO TRADE,E,0,56,Trend | Structure | Momentum | Risk,,Score or confidence did not reach an actionable trade threshold.,Trade rejected because the combined decision did not reach an actionable threshold.
2026-07-02T11:04:19.654155+00:00,BTC/USDT,NO TRADE,E,0,68,Trend | Structure | Risk,Momentum,"Weak Momentum filter for SHORT: selected side scored 0, opposite side scored 12.",Trade rejected because Momentum filters failed.
2026-07-02T11:04:20.475676+00:00,ETH/USDT,NO TRADE,E,0,68,Trend | Structure | Risk,Momentum,"Weak Momentum filter for SHORT: selected side scored 0, opposite side scored 12.",Trade rejected because Momentum filters failed.
